# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
8.716566021393579644e-04 1.564740351431663657e+04
8.792949532143065064e-04 1.577409527035723295e+04
8.870002393724070802e-04 1.590172373029605660e+04
8.947730471676566821e-04 1.603029404938120751e+04
9.026139682940420876e-04 1.615981143965670162e+04
9.105235996305806453e-04 1.629028112142369355e+04
9.185025432867574557e-04 1.642170831788927171e+04
9.265514066483586083e-04 1.655409825473487581e+04
9.346708024237098018e-04 1.668745614596769883e+04
9.428613486903169878e-04 1.682178700410372403e+04
9.511236689419157566e-04 1.695709568069581655e+04
9.594583921359357576e-04 1.709338701199333445e+04
9.678661527413765734e-04 1.723066582203516009e+04
9.763475907871084925e-04 1.736893692195572658e+04
9.849033519105923271e-04 1.750820514224660292e+04
9.935340874070281401e-04 1.764847548251945773e+04
1.002240454278932992e-03 1.778975299700413234e+04
1.011023115286156489e-03 1.793204273325745453e+04
1.019882738996330442e-03 1.807534973153205283e+04
1.028819999835764139e-03 1.821967902395061174e+04
1.037835578140783050e-03 1.836503557216412446e+04
1.046930160209518347e-03 1.851142418147311400e+04
1.056104438354151355e-03 1.865884962006580099e+04
1.065359110953614449e-03 1.880731663838888198e+04
1.074694882506753825e-03 1.895682996839287807e+04
1.084112463685958259e-03 1.910739431999856970e+04
1.093612571391259060e-03 1.925901431073210915e+04
1.103195928804902304e-03 1.941169445723316312e+04
1.112863265446400714e-03 1.956543924583685293e+04
1.122615317228065849e-03 1.972025313537923284e+04
1.132452826511029477e-03 1.987614055629999348e+04
1.142376542161755012e-03 2.003310591775014473e+04
1.152387219609044217e-03 2.019115366572324638e+04
1.162485620901541330e-03 2.035028825065946876e+04
1.172672514765744174e-03 2.051051409460218929e+04
1.182948676664522664e-03 2.067183559008134762e+04
1.193314888856149497e-03 2.083425709921158705e+04
1.203771940453849092e-03 2.099778291559938953e+04
1.214320627485864770e-03 2.116241717243876701e+04
1.224961752956059587e-03 2.132816393751192300e+04
1.235696126905041050e-03 2.149502723841087209e+04
1.246524566471825333e-03 2.166301106149092448e+04
1.257447895956040991e-03 2.183211935035250281e+04
1.268466946880675208e-03 2.200235597950857846e+04
1.279582558055376460e-03 2.217372473933831861e+04
1.290795575640304700e-03 2.234622936944091998e+04
1.302106853210545541e-03 2.251987356063143670e+04
1.313517251821084758e-03 2.269466095379975741e+04
1.325027640072359153e-03 2.287059513560293999e+04
1.336638894176374890e-03 2.304767959886062818e+04
1.348351898023407392e-03 2.322591775229528503e+04
1.360167543249289320e-03 2.340531294712435920e+04
1.372086729303279885e-03 2.358586847642482098e+04
1.384110363516538730e-03 2.376758757389552193e+04
1.396239361171194805e-03 2.395047339955962889e+04
1.408474645570018937e-03 2.413452898535830536e+04
1.420817148106708321e-03 2.431975727696616013e+04
1.433267808336791387e-03 2.450616115252895179e+04
1.445827574049146766e-03 2.469374342133504979e+04
1.458497401338154122e-03 2.488250682246813813e+04
1.471278254676473178e-03 2.507245402252168424e+04
1.484171106988465888e-03 2.526358761313014111e+04
1.497176939724256979e-03 2.545591011128988248e+04
1.510296742934446115e-03 2.564942395823057450e+04
1.523531515345474905e-03 2.584413151802491848e+04
1.536882264435649424e-03 2.604003507183063994e+04
1.550350006511839497e-03 2.623713672240848609e+04
1.563935766786838906e-03 2.643543839047188158e+04
1.577640579457410385e-03 2.663494190367011834e+04
1.591465487783010621e-03 2.683564899909514861e+04
1.605411544165208284e-03 2.703756132174657614e+04
1.619479810227797238e-03 2.724068042062043241e+04
1.633671356897609291e-03 2.744500773158805168e+04
1.647987264486039036e-03 2.765054458500525652e+04
1.662428622771277772e-03 2.785729221201095788e+04
1.676996531081274919e-03 2.806525174298042839e+04
1.691692098377421075e-03 2.827442420592366398e+04
1.706516443338967686e-03 2.848481051027344802e+04
1.721470694448180719e-03 2.869641141386127492e+04
1.736555990076249370e-03 2.890922755667692036e+04
1.751773478569942010e-03 2.912325946782553365e+04
1.767124318339021284e-03 2.933850756387160072e+04
1.782609677944424877e-03 2.955497214480375987e+04
1.798230736187224734e-03 2.977265328707499793e+04
1.813988682198359320e-03 2.999155079635605216e+04
1.829884715529153227e-03 3.021166434032480538e+04
1.845920046242634747e-03 3.043299345764264217e+04
