# 17d18ac21b0778456cc7e84f03bb8c5e9be547793a08b3a0c15e2fa3bd5adb0e#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6732,"mnu":0.06,"ns":0.96605,"ombh2":0.022383,"omch2":0.12009212027110579,"omnuh2":0.000644883920894239,"sigma_8":0.812},"data_sha256":"a1adf78a402c5980b250a8906c0f293637de20f272fa9463492015cc9b55df24","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.639223132365482652e-04 3.230614616006876076e+03
1.653587690316920308e-04 3.257882208508367512e+03
1.668078125289652977e-04 3.285378662104746581e+03
1.682695540347523997e-04 3.313105849864746688e+03
1.697441048220553798e-04 3.341065659459422932e+03
1.712315771389648887e-04 3.369259993266797210e+03
1.727320842172046472e-04 3.397690770679208526e+03
1.742457402807510969e-04 3.426359939583944197e+03
1.757726605545286748e-04 3.455269468542616778e+03
1.773129612731809272e-04 3.484421341973393282e+03
1.788667596899188466e-04 3.513817560264823896e+03
1.804341740854465391e-04 3.543460139888686172e+03
1.820153237769654144e-04 3.573351108795947312e+03
1.836103291272565483e-04 3.603492498878190418e+03
1.852193115538436265e-04 3.633886355971514149e+03
1.868423935382353357e-04 3.664534741855317861e+03
1.884796986352493386e-04 3.695439734366890207e+03
1.901313514824176198e-04 3.726603427720164291e+03
1.917974778094742579e-04 3.758027938776243900e+03
1.934782044479265177e-04 3.789715408505026971e+03
1.951736593407096441e-04 3.821667995305510885e+03
1.968839715519265208e-04 3.853887874721049684e+03
1.986092712766721416e-04 3.886377239568585537e+03
2.003496898509450066e-04 3.919138298211432812e+03
2.021053597616443885e-04 3.952173259031463203e+03
2.038764146566561498e-04 3.985484337846738526e+03
2.056629893550260561e-04 4.019073767190054241e+03
2.074652198572231592e-04 4.052943796515500708e+03
2.092832433554923553e-04 4.087096692312664345e+03
2.111171982442979086e-04 4.121534746570578136e+03
2.129672241308586979e-04 4.156260300636521606e+03
2.148334618457754851e-04 4.191275722172385031e+03
2.167160534537516687e-04 4.226583397979733491e+03
2.186151422644073874e-04 4.262185734150659300e+03
2.205308728431891149e-04 4.298085155814659629e+03
2.224633910223742573e-04 4.334284078076713740e+03
2.244128439121726793e-04 4.370784885293750449e+03
2.263793799119249127e-04 4.407589974334705403e+03
2.283631487213991641e-04 4.444701759217921790e+03
2.303643013521869572e-04 4.482122671208843713e+03
2.323829901391983861e-04 4.519855161907308684e+03
2.344193687522587693e-04 4.557901745997731268e+03
2.364735922078062692e-04 4.596264992919474935e+03
2.385458168806926468e-04 4.634947493555589972e+03
2.406362005160863650e-04 4.673951859486474859e+03
2.427449022414818083e-04 4.713280723150190170e+03
2.448720825788115014e-04 4.752936730435280879e+03
2.470179034566664499e-04 4.792922505186255876e+03
2.491825282226222456e-04 4.833240675733397438e+03
2.513661216556738621e-04 4.873893889649286393e+03
2.535688499787793317e-04 4.914884813884095820e+03
2.557908808715128731e-04 4.956216134898193559e+03
2.580323834828296913e-04 4.997890562574404612e+03
2.602935284439418539e-04 5.039910835816524013e+03
2.625744878813076298e-04 5.082279715174930061e+03
2.648754354297339097e-04 5.124999981675249728e+03
2.671965462455947989e-04 5.168074436950663767e+03
2.695379970201639973e-04 5.211505903075987590e+03
2.718999659930659537e-04 5.255297214779075148e+03
2.742826329658442220e-04 5.299451218448381951e+03
2.766861793156479422e-04 5.343970780554526755e+03
2.791107880090393169e-04 5.388858788222894873e+03
2.815566436159215439e-04 5.434118149357150287e+03
2.840239323235894259e-04 5.479751795827032765e+03
2.865128419509016815e-04 5.525762707107694041e+03
2.890235619625792954e-04 5.572153898389993628e+03
2.915562834836276838e-04 5.618928407719150528e+03
2.941111993138861456e-04 5.666089296046103300e+03
2.966885039427042195e-04 5.713639647383181909e+03
2.992883935637470063e-04 5.761582553463204022e+03
3.019110660899303254e-04 5.809921074068999587e+03
3.045567211684863541e-04 5.858658278043618338e+03
3.072255601961613233e-04 5.907797255103376301e+03
3.099177863345468952e-04 5.957341115941238968e+03
3.126336045255455483e-04 6.007292992594650059e+03
3.153732215069711083e-04 6.057656054310353284e+03
3.181368458282868099e-04 6.108433517208206467e+03
3.209246878664804561e-04 6.159628622367241405e+03
3.237369598420795479e-04 6.211244633857676490e+03
3.265738758353056259e-04 6.263284838874723391e+03
3.294356518023714548e-04 6.315752546918640292e+03
3.323225055919200224e-04 6.368651077668417201e+03
3.352346569616077910e-04 6.421983764214061921e+03
3.381723275948341541e-04 6.475753962284833506e+03
3.411357411176159046e-04 6.529965050579225135e+03
3.441251231156111602e-04 6.584620430884475354e+03
3.471407011512910664e-04 6.639723529920651345e+03
3.501827047812634494e-04 6.695277806868008156e+03
3.532513655737467401e-04 6.751286747691723576e+03
3.563469171261985052e-04 6.807753862395509714e+03
3.594695950830967420e-04 6.864682685149519784e+03
3.626196371538790877e-04 6.922076774346614002e+03
3.657972831310376659e-04 6.979939697250318204e+03
3.690027749083722264e-04 7.038275010272126565e+03
3.722363564994054272e-04 7.097086288068232534e+03
3.754982740559564651e-04 7.156377128220492523e+03
3.787887758868805884e-04 7.216151151329247114e+03
3.821081124769697222e-04 7.276412001677168519e+03
3.854565365060214706e-04 7.337163360650582035e+03
3.888343028680731886e-04 7.398408947767504287e+03
3.922416686908061106e-04 7.460152507561188031e+03
3.956788933551182901e-04 7.522397809054383288e+03
3.991462385148698182e-04 7.585148645870131077e+03
4.026439681168012441e-04 7.648408835939948403e+03
4.061723484206248712e-04 7.712182218802607167e+03
4.097316480192952719e-04 7.776472657276589416e+03
4.133221378594539256e-04 7.841284039038661831e+03
4.169440912620555142e-04 7.906620276739188739e+03
4.205977839431735994e-04 7.972485308105261538e+03
4.242834940349898549e-04 8.038883083927617918e+03
4.280015021069654454e-04 8.105817540085339715e+03
4.317520911872001340e-04 8.173292627962190636e+03
4.355355467839761388e-04 8.241312322399993718e+03
4.393521569074931876e-04 8.309880621762162264e+03
4.432022120917924958e-04 8.379001548266860482e+03
4.470860054168725932e-04 8.448679161549343917e+03
4.510038325310006865e-04 8.518917565550933432e+03
4.549559916732178236e-04 8.589720890718795999e+03
4.589427836960421414e-04 8.661093292547619058e+03
4.629645120883706848e-04 8.733038951661796091e+03
4.670214829985822372e-04 8.805562072021828499e+03
4.711140052578421380e-04 8.878666859233928335e+03
4.752423904036122307e-04 8.952357527282849333e+03
4.794069527033652917e-04 9.026638313895047759e+03
4.836080091785090900e-04 9.101513480889925631e+03
4.878458796285189383e-04 9.176987314229005278e+03
4.921208866552813930e-04 9.253064123263120564e+03
4.964333556876526256e-04 9.329748237647561837e+03
5.007836150062309252e-04 9.407044009974397341e+03
5.051719957683463652e-04 9.484955816963696634e+03
5.095988320332706187e-04 9.563488059502804390e+03
5.140644607876449683e-04 9.642645162640656054e+03
5.185692219711348066e-04 9.722431568762429379e+03
