# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.750730701000827736e-03 3.093819552447468595e+04
1.766072402881032830e-03 3.116478157121977347e+04
1.781548544521988683e-03 3.139264915216441659e+04
1.797160304023061620e-03 3.162179848237337137e+04
1.812908869807337061e-03 3.185222983057041711e+04
1.828795440712082309e-03 3.208394338052186868e+04
1.844821226080011227e-03 3.231693919397838181e+04
1.860987445851341451e-03 3.255121720894672762e+04
1.877295330656660651e-03 3.278677723526935006e+04
1.893746121910604629e-03 3.302361881738572265e+04
1.910341071906362887e-03 3.326174116402887739e+04
1.927081443911003418e-03 3.350114332714975899e+04
1.943968512261639485e-03 3.374182421569377038e+04
1.961003562462436661e-03 3.398378259370756132e+04
1.978187891282465975e-03 3.422701707501688361e+04
1.995522806854425728e-03 3.447152608086726104e+04
2.013009628774215919e-03 3.471730785025950900e+04
2.030649688201393264e-03 3.496436046687819908e+04
2.048444327960499429e-03 3.521268185774263111e+04
2.066394902643288716e-03 3.546226979127732193e+04
2.084502778711838731e-03 3.571312184412172064e+04
2.102769334602573505e-03 3.596523527386582282e+04
2.121195960831193019e-03 3.621860712003595108e+04
2.139784060098524291e-03 3.647323424912354676e+04
2.158535047397301850e-03 3.672911335259116458e+04
2.177450350119881049e-03 3.698624094443030481e+04
2.196531408166897247e-03 3.724461328272637184e+04
2.215779674056870402e-03 3.750422627717562136e+04
2.235196613036786323e-03 3.776507562628469168e+04
2.254783703193628981e-03 3.802715683609434200e+04
2.274542435566899445e-03 3.829046521810919512e+04
2.294474314262117537e-03 3.855499588563639554e+04
2.314580856565325723e-03 3.882074371660843462e+04
2.334863593058583101e-03 3.908770335049126152e+04
2.355324067736482441e-03 3.935586922035206226e+04
2.375963838123687673e-03 3.962523555235181993e+04
2.396784475393487924e-03 3.989579636370472872e+04
2.417787564487413644e-03 4.016754543140277383e+04
2.438974704235878817e-03 4.044047609297392046e+04
2.460347507479896095e-03 4.071458135891606071e+04
2.481907601193843182e-03 4.098985401232018921e+04
2.503656626609325128e-03 4.126628660734375444e+04
2.525596239340102168e-03 4.154387146713124093e+04
2.547728109508125630e-03 4.182260063971307682e+04
2.570053921870672775e-03 4.210246580153753166e+04
2.592575375948591009e-03 4.238345836003348813e+04
2.615294186155681794e-03 4.266556947801861679e+04
2.638212081929198691e-03 4.294879007167334203e+04
2.661330807861506369e-03 4.323311080724193016e+04
2.684652123832876290e-03 4.351852203596667823e+04
2.708177805145460700e-03 4.380501376165448164e+04
2.731909642658436697e-03 4.409257572213876119e+04
2.755849442924329044e-03 4.438119739441043930e+04
2.779999028326530369e-03 4.467086799269467156e+04
2.804360237218031775e-03 4.496157644230184087e+04
2.828934924061362547e-03 4.525331109739823296e+04
2.853724959569759346e-03 4.554605982783171203e+04
2.878732230849570528e-03 4.583981021540702932e+04
2.903958641543907728e-03 4.613454955586652068e+04
2.929406111977563790e-03 4.643026485704439983e+04
2.955076579303189243e-03 4.672694284091190639e+04
2.980971997648758972e-03 4.702456995696703962e+04
3.007094338266320856e-03 4.732313236785464687e+04
3.033445589682064961e-03 4.762261594204428548e+04
3.060027757847689003e-03 4.792300625218694040e+04
3.086842866293103022e-03 4.822428857260478981e+04
3.113892956280465019e-03 4.852644772679124435e+04
3.141180086959566645e-03 4.882946791232394753e+04
3.168706335524592351e-03 4.913333297206855786e+04
3.196473797372234235e-03 4.943802643260608602e+04
3.224484586261205498e-03 4.974353150279156398e+04
3.252740834473141687e-03 5.004983106106043851e+04
3.281244692974926141e-03 5.035690741221940698e+04
3.309998331582422303e-03 5.066474228321843839e+04
3.339003939125654088e-03 5.097331705493279151e+04
3.368263723615417399e-03 5.128261277123066247e+04
3.397779912411373528e-03 5.159261013780907524e+04
3.427554752391597567e-03 5.190328951740826597e+04
3.457590510123618663e-03 5.221463090439464577e+04
3.487889472036962996e-03 5.252661393827886059e+04
